index,strat,end,trig,duration
GRB180828A,-7.288,5.712,856977,13.0
GRB180823A,-29.268,51.028,855434,80.29599999999999
GRB180821A,1.0,65.0,854578,64.0
GRB180818B,-89.712,47.748,853882,137.46
GRB180818A,-1.6,12.112,853824,13.712
GRB180812A,-0.088,16.44,852903,16.528000000000002
GRB180809B,3.628,236.872,852553,233.24400000000003
GRB180805B,0.116,122.356,851855,122.24
GRB180805A,0.116,1.792,851829,1.676
GRB180728A,11.672,20.356,850471,8.684000000000001
GRB180727A,0.024,1.08,850231,1.056
GRB180721A,0.084,47.684,849018,47.599999999999994
GRB180720C,-112.22,10.768,848932,122.988
GRB180720B,0.22,108.62,848890,108.4
GRB180718A,0.008,0.092,848489,0.08399999999999999
GRB180715A,-0.112,0.572,848048,0.6839999999999999
GRB180709A,2.748,197.556,846868,194.80800000000002
GRB180706A,-2.112,40.332,846395,42.444
GRB180705A,3.852,110.636,846299,106.78399999999999
GRB180704A,-17.136,2.52,846088,19.656
GRB180630A,1.476,20.436,845443,18.96
GRB180626A,-6.68,23.424,844615,30.104
GRB180624A,-43.332,423.32,844192,466.652
GRB180623A,-37.172,77.708,844015,114.88
GRB180620B,-118.84,105.128,843211,223.96800000000002
GRB180620A,-0.616,22.332,843122,22.948
GRB180618A,0.008,47.432,842475,47.424
GRB180614A,-3.956,3.136,841548,7.0920000000000005
GRB180613A,27.944,78.76,840853,50.816
GRB180602A,-32.4,20.804,835200,53.20399999999999
GRB180514A,-6.544,24.616,832368,31.16
GRB180512A,30.0,54.0,832119,24.0
GRB180510B,-13.168,120.848,831816,134.016
GRB180510A,-15.232,48.768,831810,64.0
GRB180504A,-27.912,87.352,830822,115.26400000000001
GRB180425A,-0.136,11.768,828672,11.904
GRB180418A,0.28,4.688,826428,4.4079999999999995
GRB180411A,-1.224,76.752,824451,77.976
GRB180410A,25.688,140.488,824063,114.8
GRB180407A,-16.164,84.464,823001,100.628
GRB180404B,-0.244,111.464,821902,111.708
GRB180404A,-17.136,19.144,821881,36.28
GRB180402A,0.068,0.248,821103,0.18
GRB180331B,-20.168,57.864,820513,78.032
GRB180331A,0.584,48.584,820347,48.0
GRB180329B,-5.592,207.944,819490,213.536
GRB180329A,-0.504,35.496,819301,36.0
GRB180325A,1.752,94.58,817564,92.828
GRB180324A,-4.772,2.444,817345,7.216
GRB180316A,-61.728,25.272,814677,87.0
GRB180314B,-44.928,10.496,814305,55.424
GRB180314A,-9.784,40.68,814129,50.464
GRB180311A,0.72,23.76,813721,23.040000000000003
GRB180224A,0.144,11.064,811561,10.92
GRB180222A,0.424,42.728,811235,42.304
GRB180221A,1.656,12.656,811074,11.0
GRB180205A,-6.316,9.22,808625,15.536000000000001
GRB180204A,-0.028,1.136,808483,1.164
GRB180115A,27.736,66.88,805318,39.14399999999999
GRB180113A,-12.976,51.024,804999,64.0
GRB180111A,1.784,52.676,804692,50.892
GRB180103A,11.2,161.6,803066,150.4
GRB180102A,-6.14,5.42,802999,11.559999999999999
GRB171222A,12.848,186.72,799669,173.87199999999999
GRB171216A,0.512,30.592,797441,30.08
GRB171212A,-28.824,275.176,796778,304.0
GRB171211A,0.08,2.256,796469,2.1759999999999997
GRB171209A,-5.204,156.444,796100,161.648
GRB171205A,-26.196,164.276,794972,190.472
GRB171123A,-0.48,57.984,791922,58.464
GRB171120A,-15.528,48.472,791201,64.0
GRB171115A,-6.3,30.472,790053,36.772
GRB171103A,-0.324,3.944,785850,4.268
GRB171102B,-4.84,14.04,785510,18.88
GRB171027A,7.672,104.444,783479,96.772
GRB171020A,0.248,42.104,780845,41.856
